outcome,sex,model,estimator,term,n_used,coef,p_value,note
stem_job_y11,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,33931,-0.01382755739114777,2.2673086062653407e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,33931,-0.0015654881774129002,0.14281434601778287,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,33931,-0.01384093681012428,4.12764393098168e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,33931,-0.0015511776267416427,0.2189499901792693,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,33931,-5.2915944835857804e-05,0.9809284779497832,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,M1_CGN_only,school_fe_ols,cgn01,34692,0.001918803337239498,0.015201215080300383,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,34692,0.0019042523284690128,0.015717023936780067,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,34692,-0.00012958463176694613,0.6745482224463718,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,34692,0.0019173577244636286,0.015250765630110557,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,34692,-3.141169157733724e-05,0.921155987333472,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,34692,-0.0003354805358309877,0.6117964988016216,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,M1_CGN_only,school_fe_ols,cgn01,33931,-0.013341687009041439,5.796945825703163e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,33931,-0.01377654596479894,3.60701779345459e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,33931,-0.0010629283664333176,0.2976672747108705,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,33931,-0.013759055657977857,7.379757193693216e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,33931,-0.0010816358994329574,0.37222579106050646,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,33931,6.917461158303888e-05,0.9722376296643106,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,M1_CGN_only,school_fe_ols,cgn01,15524,295.6763827431273,0.001146296103664357,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,M2_CGN_plus_PC2,school_fe_ols,cgn01,15524,302.24969820833496,0.0009936084382479193,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,M2_CGN_plus_PC2,school_fe_ols,pc2_z,15524,47.18787784571929,0.22836280258700614,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,M3_CGN_PC2_interaction,school_fe_ols,cgn01,15524,302.5354903004348,0.0009198061885677035,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,15524,49.0385879126442,0.2637471828584742,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,female,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,15524,-5.968420826080983,0.9388943235709855,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,M1_CGN_only,school_fe_ols,cgn01,29379,-442.9376229328807,9.424117784011799e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,M2_CGN_plus_PC2,school_fe_ols,cgn01,29379,-300.42713265814945,0.0026718253403411386,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,M2_CGN_plus_PC2,school_fe_ols,pc2_z,29379,351.3732373818092,9.308892324279631e-19,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,M3_CGN_PC2_interaction,school_fe_ols,cgn01,29379,-285.56034166465014,0.006072688090518619,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,M3_CGN_PC2_interaction,school_fe_ols,pc2_z,29379,335.1335489971988,2.0221220891960462e-14,"For binary outcomes, coefficient is percentage-point change in an LPM."
earnings_o221_among_earners,male,M3_CGN_PC2_interaction,school_fe_ols,cgn_x_pc2_z,29379,61.777563252949854,0.5022106226543607,"For binary outcomes, coefficient is percentage-point change in an LPM."
log_earnings_o222_among_earners,female,M1_CGN_only,school_fe_ols,cgn01,22863,2.3083249471695115,1.325022469050737e-10,"For binary outcomes, coefficient is percentage-point change in an LPM."
