outcome,sex,cgn,pc2_group,n,outcome_mean,mean_pc1,mean_pc2,prop_pc2_high,prop_pc2_low
major_intent_y1_stem,female,non_CGN,middle_PC2,41944,0.040172611100514975,-1.5688777879322475,0.0600753685379828,0.0,0.0
major_intent_y1_stem,female,CGN,low_PC2_social_domestic,5499,0.0629205310056374,-0.15350809142576138,-1.5721279466008728,0.0,1.0
major_intent_y1_stem,male,non_CGN,high_PC2_technical_physical,18693,0.2012518054886856,1.552228579692143,1.3194433945883912,1.0,0.0
major_intent_y1_stem,male,CGN,middle_PC2,8498,0.20593080724876442,0.12987023542362017,0.009003902710596923,0.0,0.0
major_intent_y1_stem,male,non_CGN,middle_PC2,38102,0.22177313526848985,1.5026449244813764,0.0614512240249744,0.0,0.0
major_intent_y1_stem,male,CGN,low_PC2_social_domestic,6879,0.16862916121529292,0.13633290156866215,-1.732994465508727,0.0,1.0
major_intent_y1_stem,female,non_CGN,high_PC2_technical_physical,20607,0.0428009899548697,-1.5327445554988108,1.3425179974169208,1.0,0.0
major_intent_y1_stem,male,non_CGN,low_PC2_social_domestic,14673,0.19348463163633886,1.3091837850213288,-1.408755006857571,0.0,1.0
major_intent_y1_stem,female,non_CGN,low_PC2_social_domestic,17042,0.032742635840863746,-1.3037684915200305,-1.2039870332365972,0.0,1.0
major_intent_y1_stem,female,CGN,middle_PC2,8362,0.07581918201387228,-0.12931974906884264,0.05703077533109432,0.0,0.0
major_intent_y1_stem,female,CGN,high_PC2_technical_physical,5121,0.06893184924819372,-0.11232193380216161,1.4232433757921117,1.0,0.0
major_intent_y1_stem,male,CGN,high_PC2_technical_physical,3576,0.17645413870246085,0.18066569868059545,1.381143330707966,1.0,0.0
major_intent_y1_engineering,female,non_CGN,middle_PC2,41944,0.0005483501811939729,-1.5688777879322475,0.0600753685379828,0.0,0.0
major_intent_y1_engineering,female,CGN,low_PC2_social_domestic,5499,0.0030914711765775596,-0.15350809142576138,-1.5721279466008728,0.0,1.0
major_intent_y1_engineering,male,non_CGN,high_PC2_technical_physical,18693,0.09779061680843096,1.552228579692143,1.3194433945883912,1.0,0.0
major_intent_y1_engineering,male,CGN,middle_PC2,8498,0.056719228053659684,0.12987023542362017,0.009003902710596923,0.0,0.0
major_intent_y1_engineering,male,non_CGN,middle_PC2,38102,0.10981050863471734,1.5026449244813764,0.0614512240249744,0.0,0.0
major_intent_y1_engineering,male,CGN,low_PC2_social_domestic,6879,0.05073411833115278,0.13633290156866215,-1.732994465508727,0.0,1.0
major_intent_y1_engineering,female,non_CGN,high_PC2_technical_physical,20607,0.000776435191925074,-1.5327445554988108,1.3425179974169208,1.0,0.0
major_intent_y1_engineering,male,non_CGN,low_PC2_social_domestic,14673,0.09520888707149186,1.3091837850213288,-1.408755006857571,0.0,1.0
major_intent_y1_engineering,female,non_CGN,low_PC2_social_domestic,17042,0.0005281070296913508,-1.3037684915200305,-1.2039870332365972,0.0,1.0
major_intent_y1_engineering,female,CGN,middle_PC2,8362,0.0021525950729490554,-0.12931974906884264,0.05703077533109432,0.0,0.0
major_intent_y1_engineering,female,CGN,high_PC2_technical_physical,5121,0.0025385666861941028,-0.11232193380216161,1.4232433757921117,1.0,0.0
major_intent_y1_engineering,male,CGN,high_PC2_technical_physical,3576,0.049776286353467564,0.18066569868059545,1.381143330707966,1.0,0.0
major_realized_y11_stem,female,non_CGN,middle_PC2,8855,0.06719367588932806,-1.5087644987064484,0.07942328954668945,0.0,0.0
major_realized_y11_stem,male,non_CGN,middle_PC2,11726,0.3059014156575132,1.4316800292608876,0.0706679505408734,0.0,0.0
major_realized_y11_stem,male,non_CGN,high_PC2_technical_physical,5687,0.2700896782134693,1.4853590945232238,1.306754613443264,1.0,0.0
major_realized_y11_stem,male,non_CGN,low_PC2_social_domestic,3958,0.3180899444163719,1.2623306348117869,-1.3306430839058876,0.0,1.0
major_realized_y11_stem,female,non_CGN,low_PC2_social_domestic,2925,0.07179487179487179,-1.2703141299808243,-1.1469328896358284,0.0,1.0
major_realized_y11_stem,female,non_CGN,high_PC2_technical_physical,4713,0.07044345427540845,-1.5166223755056096,1.34021883693331,1.0,0.0
major_realized_y11_stem,male,CGN,low_PC2_social_domestic,2137,0.21197941038839493,0.12850939161142966,-1.5403215794073062,0.0,1.0
major_realized_y11_stem,male,CGN,middle_PC2,3226,0.19745815251084936,0.13726845871354357,-0.001971895970704454,0.0,0.0
major_realized_y11_stem,female,CGN,middle_PC2,2075,0.11277108433734939,-0.10488996217428169,0.07438985319769827,0.0,0.0
major_realized_y11_stem,male,CGN,high_PC2_technical_physical,1187,0.16933445661331087,0.18700830924363523,1.3224207362469005,1.0,0.0
major_realized_y11_stem,female,CGN,low_PC2_social_domestic,1077,0.11327762302692665,-0.12134491670445742,-1.4512005230862248,0.0,1.0
major_realized_y11_stem,female,CGN,high_PC2_technical_physical,1328,0.11596385542168675,-0.08667790865593858,1.397736351426024,1.0,0.0
major_realized_y11_engineering,female,non_CGN,middle_PC2,8855,0.0012422360248447205,-1.5087644987064484,0.07942328954668945,0.0,0.0
major_realized_y11_engineering,male,non_CGN,middle_PC2,11726,0.1581101825004264,1.4316800292608876,0.0706679505408734,0.0,0.0
major_realized_y11_engineering,male,non_CGN,high_PC2_technical_physical,5687,0.13187972569017056,1.4853590945232238,1.306754613443264,1.0,0.0
major_realized_y11_engineering,male,non_CGN,low_PC2_social_domestic,3958,0.16043456291056088,1.2623306348117869,-1.3306430839058876,0.0,1.0
major_realized_y11_engineering,female,non_CGN,low_PC2_social_domestic,2925,0.003418803418803419,-1.2703141299808243,-1.1469328896358284,0.0,1.0
major_realized_y11_engineering,female,non_CGN,high_PC2_technical_physical,4713,0.002758328028856355,-1.5166223755056096,1.34021883693331,1.0,0.0
major_realized_y11_engineering,male,CGN,low_PC2_social_domestic,2137,0.07112774918109499,0.12850939161142966,-1.5403215794073062,0.0,1.0
major_realized_y11_engineering,male,CGN,middle_PC2,3226,0.06602603843769374,0.13726845871354357,-0.001971895970704454,0.0,0.0
major_realized_y11_engineering,female,CGN,middle_PC2,2075,0.007228915662650603,-0.10488996217428169,0.07438985319769827,0.0,0.0
major_realized_y11_engineering,male,CGN,high_PC2_technical_physical,1187,0.04886267902274642,0.18700830924363523,1.3224207362469005,1.0,0.0
major_realized_y11_engineering,female,CGN,low_PC2_social_domestic,1077,0.0064995357474466105,-0.12134491670445742,-1.4512005230862248,0.0,1.0
major_realized_y11_engineering,female,CGN,high_PC2_technical_physical,1328,0.005271084337349397,-0.08667790865593858,1.397736351426024,1.0,0.0
stem_job_y11,female,non_CGN,middle_PC2,14612,0.0024637284423761293,-1.5619631209651876,0.05924402414874711,0.0,0.0
stem_job_y11,male,non_CGN,high_PC2_technical_physical,6943,0.04076047817946133,1.5784818719719955,1.3163266822423256,1.0,0.0
stem_job_y11,male,non_CGN,middle_PC2,14647,0.04833754352427118,1.5143212885052946,0.05829790281895974,0.0,0.0
stem_job_y11,male,non_CGN,low_PC2_social_domestic,5750,0.04608695652173913,1.3167962977042866,-1.3967864405005674,0.0,1.0
stem_job_y11,female,CGN,high_PC2_technical_physical,1938,0.005159958720330237,-0.10293150990185407,1.4384333500519286,1.0,0.0
stem_job_y11,female,non_CGN,low_PC2_social_domestic,5960,0.0031879194630872482,-1.304826283714865,-1.1960573637746665,0.0,1.0
stem_job_y11,male,CGN,middle_PC2,2932,0.037858117326057296,0.15452938945184225,-0.007297877079910413,0.0,0.0
stem_job_y11,female,CGN,low_PC2_social_domestic,1894,0.005279831045406547,-0.15457681118920988,-1.5885546607185534,0.0,1.0
stem_job_y11,male,CGN,low_PC2_social_domestic,2503,0.032361166600079906,0.15909006617608643,-1.6922654240157762,0.0,1.0
stem_job_y11,female,CGN,middle_PC2,3009,0.006646726487205052,-0.11841488506064149,0.07138219800918237,0.0,0.0
stem_job_y11,female,non_CGN,high_PC2_technical_physical,7279,0.0026102486605302927,-1.5186057553267853,1.3447559539955598,1.0,0.0
stem_job_y11,male,CGN,high_PC2_technical_physical,1156,0.026816608996539794,0.1836503581296679,1.3612831152241225,1.0,0.0
engineering_job_y11,female,non_CGN,middle_PC2,14612,0.0015056118258965235,-1.5619631209651876,0.05924402414874711,0.0,0.0
engineering_job_y11,male,non_CGN,high_PC2_technical_physical,6943,0.03658360939075328,1.5784818719719955,1.3163266822423256,1.0,0.0
engineering_job_y11,male,non_CGN,middle_PC2,14647,0.043490134498532125,1.5143212885052946,0.05829790281895974,0.0,0.0
engineering_job_y11,male,non_CGN,low_PC2_social_domestic,5750,0.041565217391304345,1.3167962977042866,-1.3967864405005674,0.0,1.0
engineering_job_y11,female,CGN,high_PC2_technical_physical,1938,0.0041279669762641896,-0.10293150990185407,1.4384333500519286,1.0,0.0
engineering_job_y11,female,non_CGN,low_PC2_social_domestic,5960,0.002181208053691275,-1.304826283714865,-1.1960573637746665,0.0,1.0
engineering_job_y11,male,CGN,middle_PC2,2932,0.03240109140518418,0.15452938945184225,-0.007297877079910413,0.0,0.0
engineering_job_y11,female,CGN,low_PC2_social_domestic,1894,0.003695881731784583,-0.15457681118920988,-1.5885546607185534,0.0,1.0
engineering_job_y11,male,CGN,low_PC2_social_domestic,2503,0.026767878545745107,0.15909006617608643,-1.6922654240157762,0.0,1.0
engineering_job_y11,female,CGN,middle_PC2,3009,0.003323363243602526,-0.11841488506064149,0.07138219800918237,0.0,0.0
engineering_job_y11,female,non_CGN,high_PC2_technical_physical,7279,0.0016485781013875532,-1.5186057553267853,1.3447559539955598,1.0,0.0
