outcome,sex,model,estimator,term,n_used,coef,p_value,note
major_realized_y11_engineering,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,20973,-0.0007632269695098669,0.5351485589787386,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,20973,0.005264799738588885,0.0007391879540499283,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,20973,0.0014249354034774795,0.12342997786795762,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,20973,-0.0028811331500350735,0.25123066915090586,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,27921,-0.09002852444669156,2.670623083117605e-100,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,27921,-0.008438953483535239,0.0012781812095112373,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,27921,-0.0014357547171420812,0.720289205907321,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,27921,-0.0889630200028047,7.688565211313383e-79,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,27921,-0.022797248936852272,1.3025215841771734e-05,"For binary outcomes, coefficient is percentage-point change in an LPM."
major_realized_y11_engineering,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,27921,0.0017911620259633508,0.8379887614456605,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,34692,0.003316573127466903,0.0009913892482575249,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,34692,0.00015521958442552564,0.7072803677363122,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,34692,-0.0006864509713630615,0.3705842847978378,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,34692,0.003524150679525024,0.005858952017325862,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,34692,-0.00036800633928592605,0.6451544937343909,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,34692,-0.0007835376334906242,0.7289309017401489,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,33931,-0.01384093681012428,4.12764393098168e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,33931,-0.0015511776267416427,0.2189499901792693,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,33931,-5.2915944835857804e-05,0.9809284779497832,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,33931,-0.012870200060722316,4.463021484478678e-05,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,33931,-0.005288791777730863,0.05347162307219181,"For binary outcomes, coefficient is percentage-point change in an LPM."
stem_job_y11,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,33931,-0.004143443156211473,0.5119945266338701,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,CGN_x_PC2_continuous,school_fe_ols,cgn01,34692,0.0019173577244636286,0.015250765630110557,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,CGN_x_PC2_continuous,school_fe_ols,pc2_z,34692,-3.141169157733724e-05,0.921155987333472,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,34692,-0.0003354805358309877,0.6117964988016216,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,34692,0.0016408188945620755,0.08278002309302092,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,CGN_x_high_PC2_indicator,school_fe_ols,pc2_high,34692,-0.00021233500214980097,0.7429122941528408,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,female,CGN_x_high_PC2_indicator,school_fe_ols,cgn_x_pc2_high,34692,0.0009949679155903963,0.5915728014304189,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,CGN_x_PC2_continuous,school_fe_ols,cgn01,33931,-0.013759055657977857,7.379757193693216e-07,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,CGN_x_PC2_continuous,school_fe_ols,pc2_z,33931,-0.0010816358994329574,0.37222579106050646,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,CGN_x_PC2_continuous,school_fe_ols,cgn_x_pc2_z,33931,6.917461158303888e-05,0.9722376296643106,"For binary outcomes, coefficient is percentage-point change in an LPM."
engineering_job_y11,male,CGN_x_high_PC2_indicator,school_fe_ols,cgn01,33931,-0.01313950273210621,7.5882046132637925e-06,"For binary outcomes, coefficient is percentage-point change in an LPM."
